nodedata.npmPackageName,nodedata.size,nodedata.sizeindexed,nodedata.sizeunindexed,nodedata.created_at,nodedata.updated_at,nodedata.stargazers_count,nodedata.subscribers_count,nodedata.watchers_count,nodedata.nointerests,nodedata.age,nodedata.lastupdateyears,nodedata.lastupdatemonths,nodedata.lastupdatedays,nodedata.nocontributors,nodedata.noissues,nodedata.npmaudit.metadata.vulnerabilities.info,nodedata.npmaudit.metadata.vulnerabilities.low,nodedata.npmaudit.metadata.vulnerabilities.moderate,nodedata.npmaudit.metadata.vulnerabilities.high,nodedata.npmaudit.metadata.vulnerabilities.critical,nodedata.npmaudit.metadata.vulnerabilities.total,nodedata.npmaudit.metadata.dependencies.prod,nodedata.npmaudit.metadata.dependencies.dev,nodedata.npmaudit.metadata.optional,nodedata.npmaudit.metadata.peer,nodedata.npmaudit.metadata.peerOptional,nodedata.npmaudit.metadata.total,id,name,ownericon,owner,datalocalisation,age,lastupdateyears,lastupdatemonths,lastupdatedays,nocontributors,noissues,nointerests,license,size,sizeindexed,sizeunindexed,nodevdependencies,noproddependencies,nopeerdependencies,nodependencies,noversions,nomaintainers,latestversion,centrality,indegree,outdegree,gcom,bcom,ucom,xcom,ycom,rcom,ecom,ncom,vul.info,vul.low,vul.moderate,vul.high,vul.critical
mock-fs,35342078.0,4192.0,1101.0,2013-11-08T16:54:54Z,2024-10-12T19:38:09Z,906,11,906,1823,10.96,0.03,0,10.85,38,67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,249.0,,,,,brick-boilerplate,brick-boilerplate,https://avatars.githubusercontent.com/u/131524?v=4,Mozilla,United States(California),10.46,0.03,0,12.1,1,3,16,ISC,38289313.0,7091.0,2336.0,15,0,0,15,1,1,0.0.0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0,3,7,44,14
mock-fs,35342078.0,4192.0,1101.0,2013-11-08T16:54:54Z,2024-10-12T19:38:09Z,906,11,906,1823,10.96,0.03,0,10.85,38,67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,249.0,,,,,karma,karma,https://avatars.githubusercontent.com/u/3284117?v=4,karma-runner,unknown,13.04,0.01,0,2.47,340,379,24233,MIT,396432213.0,16410.0,3625.0,39,24,0,63,213,5,6.4.4,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2850.0,0,5,21,31,7
mock-fs,35342078.0,4192.0,1101.0,2013-11-08T16:54:54Z,2024-10-12T19:38:09Z,906,11,906,1823,10.96,0.03,0,10.85,38,67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,249.0,,,,,karma-mocha,karma-mocha,https://avatars.githubusercontent.com/u/3284117?v=4,karma-runner,unknown,11.66,0.44,5,158.92,34,86,768,MIT,70595576.0,15141.0,3734.0,29,1,0,30,23,5,2.0.1,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,0,4,27,80,17
mock-fs,35342078.0,4192.0,1101.0,2013-11-08T16:54:54Z,2024-10-12T19:38:09Z,906,11,906,1823,10.96,0.03,0,10.85,38,67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,249.0,,,,,mock-fs,mock-fs,https://avatars.githubusercontent.com/u/41094?v=4,tschaub,unknown,10.96,0.03,0,10.85,38,67,1823,MIT,35342078.0,4192.0,1101.0,6,0,0,6,85,1,5.4.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733.0,0,0,0,0,0
eslint-config-tschaub,32631142.0,3597.0,839.0,2015-06-25T15:26:10Z,2022-02-10T15:30:59Z,0,3,0,3,9.34,2.7,32,986.02,3,0,0.0,0.0,1.0,2.0,0.0,3.0,158.0,20.0,,,,,brick-boilerplate,brick-boilerplate,https://avatars.githubusercontent.com/u/131524?v=4,Mozilla,United States(California),10.46,0.03,0,12.1,1,3,16,ISC,38289313.0,7091.0,2336.0,15,0,0,15,1,1,0.0.0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0,3,7,44,14
eslint-config-tschaub,32631142.0,3597.0,839.0,2015-06-25T15:26:10Z,2022-02-10T15:30:59Z,0,3,0,3,9.34,2.7,32,986.02,3,0,0.0,0.0,1.0,2.0,0.0,3.0,158.0,20.0,,,,,karma,karma,https://avatars.githubusercontent.com/u/3284117?v=4,karma-runner,unknown,13.04,0.01,0,2.47,340,379,24233,MIT,396432213.0,16410.0,3625.0,39,24,0,63,213,5,6.4.4,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2850.0,0,5,21,31,7
eslint-config-tschaub,32631142.0,3597.0,839.0,2015-06-25T15:26:10Z,2022-02-10T15:30:59Z,0,3,0,3,9.34,2.7,32,986.02,3,0,0.0,0.0,1.0,2.0,0.0,3.0,158.0,20.0,,,,,karma-mocha,karma-mocha,https://avatars.githubusercontent.com/u/3284117?v=4,karma-runner,unknown,11.66,0.44,5,158.92,34,86,768,MIT,70595576.0,15141.0,3734.0,29,1,0,30,23,5,2.0.1,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,0,4,27,80,17
eslint-config-tschaub,32631142.0,3597.0,839.0,2015-06-25T15:26:10Z,2022-02-10T15:30:59Z,0,3,0,3,9.34,2.7,32,986.02,3,0,0.0,0.0,1.0,2.0,0.0,3.0,158.0,20.0,,,,,mock-fs,mock-fs,https://avatars.githubusercontent.com/u/41094?v=4,tschaub,unknown,10.96,0.03,0,10.85,38,67,1823,MIT,35342078.0,4192.0,1101.0,6,0,0,6,85,1,5.4.0,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733.0,0,0,0,0,0
eslint-config-tschaub,32631142.0,3597.0,839.0,2015-06-25T15:26:10Z,2022-02-10T15:30:59Z,0,3,0,3,9.34,2.7,32,986.02,3,0,0.0,0.0,1.0,2.0,0.0,3.0,158.0,20.0,,,,,eslint-config-tschaub,eslint-config-tschaub,https://avatars.githubusercontent.com/u/41094?v=4,tschaub,unknown,9.34,2.7,32,986.02,3,0,3,MIT,32631142.0,3597.0,839.0,6,6,0,12,22,1,14.1.2,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0,0,1,2,0
semver,172772789.0,16645.0,3874.0,2011-02-12T00:06:03Z,2024-10-23T11:18:01Z,5087,103,5087,10277,13.71,0.0,0,0.2,81,48,0.0,0.0,0.0,1.0,0.0,1.0,1.0,955.0,,,,,brick-boilerplate,brick-boilerplate,https://avatars.githubusercontent.com/u/131524?v=4,Mozilla,United States(California),10.46,0.03,0,12.1,1,3,16,ISC,38289313.0,7091.0,2336.0,15,0,0,15,1,1,0.0.0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0,3,7,44,14
semver,172772789.0,16645.0,3874.0,2011-02-12T00:06:03Z,2024-10-23T11:18:01Z,5087,103,5087,10277,13.71,0.0,0,0.2,81,48,0.0,0.0,0.0,1.0,0.0,1.0,1.0,955.0,,,,,karma,karma,https://avatars.githubusercontent.com/u/3284117?v=4,karma-runner,unknown,13.04,0.01,0,2.47,340,379,24233,MIT,396432213.0,16410.0,3625.0,39,24,0,63,213,5,6.4.4,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2850.0,0,5,21,31,7
semver,172772789.0,16645.0,3874.0,2011-02-12T00:06:03Z,2024-10-23T11:18:01Z,5087,103,5087,10277,13.71,0.0,0,0.2,81,48,0.0,0.0,0.0,1.0,0.0,1.0,1.0,955.0,,,,,karma-mocha,karma-mocha,https://avatars.githubusercontent.com/u/3284117?v=4,karma-runner,unknown,11.66,0.44,5,158.92,34,86,768,MIT,70595576.0,15141.0,3734.0,29,1,0,30,23,5,2.0.1,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,0,4,27,80,17
semver,172772789.0,16645.0,3874.0,2011-02-12T00:06:03Z,2024-10-23T11:18:01Z,5087,103,5087,10277,13.71,0.0,0,0.2,81,48,0.0,0.0,0.0,1.0,0.0,1.0,1.0,955.0,,,,,mock-fs,mock-fs,https://avatars.githubusercontent.com/u/41094?v=4,tschaub,unknown,10.96,0.03,0,10.85,38,67,1823,MIT,35342078.0,4192.0,1101.0,6,0,0,6,85,1,5.4.0,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733.0,0,0,0,0,0
semver,172772789.0,16645.0,3874.0,2011-02-12T00:06:03Z,2024-10-23T11:18:01Z,5087,103,5087,10277,13.71,0.0,0,0.2,81,48,0.0,0.0,0.0,1.0,0.0,1.0,1.0,955.0,,,,,semver,semver,https://avatars.githubusercontent.com/u/6078720?v=4,npm,United States(District of Columbia),13.71,0.0,0,0.2,81,48,10277,ISC,172772789.0,16645.0,3874.0,0,0,0,0,108,6,7.6.3,1,1,0,,,,,,,,,0,0,0,1,0
eslint-config-prettier,115858400.0,12841.0,3112.0,2017-01-29T20:07:58Z,2024-10-23T13:47:32Z,5455,33,5455,10943,7.74,0.0,0,0.1,34,12,0.0,0.0,1.0,1.0,0.0,2.0,1.0,842.0,,,,,brick-boilerplate,brick-boilerplate,https://avatars.githubusercontent.com/u/131524?v=4,Mozilla,United States(California),10.46,0.03,0,12.1,1,3,16,ISC,38289313.0,7091.0,2336.0,15,0,0,15,1,1,0.0.0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0,3,7,44,14
eslint-config-prettier,115858400.0,12841.0,3112.0,2017-01-29T20:07:58Z,2024-10-23T13:47:32Z,5455,33,5455,10943,7.74,0.0,0,0.1,34,12,0.0,0.0,1.0,1.0,0.0,2.0,1.0,842.0,,,,,karma,karma,https://avatars.githubusercontent.com/u/3284117?v=4,karma-runner,unknown,13.04,0.01,0,2.47,340,379,24233,MIT,396432213.0,16410.0,3625.0,39,24,0,63,213,5,6.4.4,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2850.0,0,5,21,31,7
eslint-config-prettier,115858400.0,12841.0,3112.0,2017-01-29T20:07:58Z,2024-10-23T13:47:32Z,5455,33,5455,10943,7.74,0.0,0,0.1,34,12,0.0,0.0,1.0,1.0,0.0,2.0,1.0,842.0,,,,,karma-mocha,karma-mocha,https://avatars.githubusercontent.com/u/3284117?v=4,karma-runner,unknown,11.66,0.44,5,158.92,34,86,768,MIT,70595576.0,15141.0,3734.0,29,1,0,30,23,5,2.0.1,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,0,4,27,80,17
eslint-config-prettier,115858400.0,12841.0,3112.0,2017-01-29T20:07:58Z,2024-10-23T13:47:32Z,5455,33,5455,10943,7.74,0.0,0,0.1,34,12,0.0,0.0,1.0,1.0,0.0,2.0,1.0,842.0,,,,,mock-fs,mock-fs,https://avatars.githubusercontent.com/u/41094?v=4,tschaub,unknown,10.96,0.03,0,10.85,38,67,1823,MIT,35342078.0,4192.0,1101.0,6,0,0,6,85,1,5.4.0,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733.0,0,0,0,0,0
eslint-config-prettier,115858400.0,12841.0,3112.0,2017-01-29T20:07:58Z,2024-10-23T13:47:32Z,5455,33,5455,10943,7.74,0.0,0,0.1,34,12,0.0,0.0,1.0,1.0,0.0,2.0,1.0,842.0,,,,,eslint-config-tschaub,eslint-config-tschaub,https://avatars.githubusercontent.com/u/41094?v=4,tschaub,unknown,9.34,2.7,32,986.02,3,0,3,MIT,32631142.0,3597.0,839.0,6,6,0,12,22,1,14.1.2,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0,0,1,2,0
eslint-config-prettier,115858400.0,12841.0,3112.0,2017-01-29T20:07:58Z,2024-10-23T13:47:32Z,5455,33,5455,10943,7.74,0.0,0,0.1,34,12,0.0,0.0,1.0,1.0,0.0,2.0,1.0,842.0,,,,,eslint-config-prettier,eslint-config-prettier,https://avatars.githubusercontent.com/u/25822731?v=4,prettier,unknown,7.74,0.0,0,0.1,34,12,10943,MIT,115858400.0,12841.0,3112.0,25,0,0,25,72,3,9.1.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381.0,0,0,1,1,0
eslint-plugin-jsdoc,2821121.0,269.0,44.0,2015-09-18T21:17:09Z,2024-10-22T16:16:22Z,1091,7,1091,2189,9.1,0.0,0,0.99,98,46,,,,,,,,,,,,,brick-boilerplate,brick-boilerplate,https://avatars.githubusercontent.com/u/131524?v=4,Mozilla,United States(California),10.46,0.03,0,12.1,1,3,16,ISC,38289313.0,7091.0,2336.0,15,0,0,15,1,1,0.0.0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0,3,7,44,14
eslint-plugin-jsdoc,2821121.0,269.0,44.0,2015-09-18T21:17:09Z,2024-10-22T16:16:22Z,1091,7,1091,2189,9.1,0.0,0,0.99,98,46,,,,,,,,,,,,,karma,karma,https://avatars.githubusercontent.com/u/3284117?v=4,karma-runner,unknown,13.04,0.01,0,2.47,340,379,24233,MIT,396432213.0,16410.0,3625.0,39,24,0,63,213,5,6.4.4,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2850.0,0,5,21,31,7
eslint-plugin-jsdoc,2821121.0,269.0,44.0,2015-09-18T21:17:09Z,2024-10-22T16:16:22Z,1091,7,1091,2189,9.1,0.0,0,0.99,98,46,,,,,,,,,,,,,karma-mocha,karma-mocha,https://avatars.githubusercontent.com/u/3284117?v=4,karma-runner,unknown,11.66,0.44,5,158.92,34,86,768,MIT,70595576.0,15141.0,3734.0,29,1,0,30,23,5,2.0.1,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,0,4,27,80,17
eslint-plugin-jsdoc,2821121.0,269.0,44.0,2015-09-18T21:17:09Z,2024-10-22T16:16:22Z,1091,7,1091,2189,9.1,0.0,0,0.99,98,46,,,,,,,,,,,,,mock-fs,mock-fs,https://avatars.githubusercontent.com/u/41094?v=4,tschaub,unknown,10.96,0.03,0,10.85,38,67,1823,MIT,35342078.0,4192.0,1101.0,6,0,0,6,85,1,5.4.0,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733.0,0,0,0,0,0
eslint-plugin-jsdoc,2821121.0,269.0,44.0,2015-09-18T21:17:09Z,2024-10-22T16:16:22Z,1091,7,1091,2189,9.1,0.0,0,0.99,98,46,,,,,,,,,,,,,eslint-config-tschaub,eslint-config-tschaub,https://avatars.githubusercontent.com/u/41094?v=4,tschaub,unknown,9.34,2.7,32,986.02,3,0,3,MIT,32631142.0,3597.0,839.0,6,6,0,12,22,1,14.1.2,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0,0,1,2,0
eslint-plugin-jsdoc,2821121.0,269.0,44.0,2015-09-18T21:17:09Z,2024-10-22T16:16:22Z,1091,7,1091,2189,9.1,0.0,0,0.99,98,46,,,,,,,,,,,,,eslint-plugin-jsdoc,eslint-plugin-jsdoc,https://avatars.githubusercontent.com/u/973543?v=4,gajus,United Kingdom,9.1,0.0,0,0.99,98,46,2189,BSD-3-Clause,2821121.0,269.0,44.0,0,0,0,0,661,1,50.4.3,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2114.0,0,0,0,0,0
eslint-plugin-prettier,295940.0,40.0,52.0,2017-01-26T04:09:32Z,2024-10-23T14:51:53Z,3317,23,3317,6657,7.75,0.0,0,0.05,37,19,,,,,,,,,,,,,brick-boilerplate,brick-boilerplate,https://avatars.githubusercontent.com/u/131524?v=4,Mozilla,United States(California),10.46,0.03,0,12.1,1,3,16,ISC,38289313.0,7091.0,2336.0,15,0,0,15,1,1,0.0.0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0,3,7,44,14
eslint-plugin-prettier,295940.0,40.0,52.0,2017-01-26T04:09:32Z,2024-10-23T14:51:53Z,3317,23,3317,6657,7.75,0.0,0,0.05,37,19,,,,,,,,,,,,,karma,karma,https://avatars.githubusercontent.com/u/3284117?v=4,karma-runner,unknown,13.04,0.01,0,2.47,340,379,24233,MIT,396432213.0,16410.0,3625.0,39,24,0,63,213,5,6.4.4,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2850.0,0,5,21,31,7
eslint-plugin-prettier,295940.0,40.0,52.0,2017-01-26T04:09:32Z,2024-10-23T14:51:53Z,3317,23,3317,6657,7.75,0.0,0,0.05,37,19,,,,,,,,,,,,,karma-mocha,karma-mocha,https://avatars.githubusercontent.com/u/3284117?v=4,karma-runner,unknown,11.66,0.44,5,158.92,34,86,768,MIT,70595576.0,15141.0,3734.0,29,1,0,30,23,5,2.0.1,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,0,4,27,80,17
eslint-plugin-prettier,295940.0,40.0,52.0,2017-01-26T04:09:32Z,2024-10-23T14:51:53Z,3317,23,3317,6657,7.75,0.0,0,0.05,37,19,,,,,,,,,,,,,mock-fs,mock-fs,https://avatars.githubusercontent.com/u/41094?v=4,tschaub,unknown,10.96,0.03,0,10.85,38,67,1823,MIT,35342078.0,4192.0,1101.0,6,0,0,6,85,1,5.4.0,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733.0,0,0,0,0,0
eslint-plugin-prettier,295940.0,40.0,52.0,2017-01-26T04:09:32Z,2024-10-23T14:51:53Z,3317,23,3317,6657,7.75,0.0,0,0.05,37,19,,,,,,,,,,,,,eslint-config-tschaub,eslint-config-tschaub,https://avatars.githubusercontent.com/u/41094?v=4,tschaub,unknown,9.34,2.7,32,986.02,3,0,3,MIT,32631142.0,3597.0,839.0,6,6,0,12,22,1,14.1.2,3,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0,0,1,2,0
eslint-plugin-prettier,295940.0,40.0,52.0,2017-01-26T04:09:32Z,2024-10-23T14:51:53Z,3317,23,3317,6657,7.75,0.0,0,0.05,37,19,,,,,,,,,,,,,eslint-config-prettier,eslint-config-prettier,https://avatars.githubusercontent.com/u/25822731?v=4,prettier,unknown,7.74,0.0,0,0.1,34,12,10943,MIT,115858400.0,12841.0,3112.0,25,0,0,25,72,3,9.1.0,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381.0,0,0,1,1,0
eslint-plugin-prettier,295940.0,40.0,52.0,2017-01-26T04:09:32Z,2024-10-23T14:51:53Z,3317,23,3317,6657,7.75,0.0,0,0.05,37,19,,,,,,,,,,,,,eslint-plugin-prettier,eslint-plugin-prettier,https://avatars.githubusercontent.com/u/25822731?v=4,prettier,unknown,7.75,0.0,0,0.05,37,19,6657,MIT,295940.0,40.0,52.0,0,0,0,0,41,6,5.2.1,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,0,0,0,0,0
eslint-plugin-react-hooks,,,,2013-05-24T16:15:54Z,2024-10-23T16:03:00Z,228591,6607,228591,463789,11.42,0.0,0,0.0,413,837,,,,,,,,,,,,,brick-boilerplate,brick-boilerplate,https://avatars.githubusercontent.com/u/131524?v=4,Mozilla,United States(California),10.46,0.03,0,12.1,1,3,16,ISC,38289313.0,7091.0,2336.0,15,0,0,15,1,1,0.0.0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0,3,7,44,14
eslint-plugin-react-hooks,,,,2013-05-24T16:15:54Z,2024-10-23T16:03:00Z,228591,6607,228591,463789,11.42,0.0,0,0.0,413,837,,,,,,,,,,,,,karma,karma,https://avatars.githubusercontent.com/u/3284117?v=4,karma-runner,unknown,13.04,0.01,0,2.47,340,379,24233,MIT,396432213.0,16410.0,3625.0,39,24,0,63,213,5,6.4.4,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2850.0,0,5,21,31,7
eslint-plugin-react-hooks,,,,2013-05-24T16:15:54Z,2024-10-23T16:03:00Z,228591,6607,228591,463789,11.42,0.0,0,0.0,413,837,,,,,,,,,,,,,karma-mocha,karma-mocha,https://avatars.githubusercontent.com/u/3284117?v=4,karma-runner,unknown,11.66,0.44,5,158.92,34,86,768,MIT,70595576.0,15141.0,3734.0,29,1,0,30,23,5,2.0.1,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,0,4,27,80,17
eslint-plugin-react-hooks,,,,2013-05-24T16:15:54Z,2024-10-23T16:03:00Z,228591,6607,228591,463789,11.42,0.0,0,0.0,413,837,,,,,,,,,,,,,mock-fs,mock-fs,https://avatars.githubusercontent.com/u/41094?v=4,tschaub,unknown,10.96,0.03,0,10.85,38,67,1823,MIT,35342078.0,4192.0,1101.0,6,0,0,6,85,1,5.4.0,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733.0,0,0,0,0,0
eslint-plugin-react-hooks,,,,2013-05-24T16:15:54Z,2024-10-23T16:03:00Z,228591,6607,228591,463789,11.42,0.0,0,0.0,413,837,,,,,,,,,,,,,eslint-config-tschaub,eslint-config-tschaub,https://avatars.githubusercontent.com/u/41094?v=4,tschaub,unknown,9.34,2.7,32,986.02,3,0,3,MIT,32631142.0,3597.0,839.0,6,6,0,12,22,1,14.1.2,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0,0,1,2,0
eslint-plugin-react-hooks,,,,2013-05-24T16:15:54Z,2024-10-23T16:03:00Z,228591,6607,228591,463789,11.42,0.0,0,0.0,413,837,,,,,,,,,,,,,eslint-plugin-react-hooks,eslint-plugin-react-hooks,https://avatars.githubusercontent.com/u/69631?v=4,facebook,United States(California),11.42,0.0,0,0.0,413,837,463789,MIT,,,,0,0,0,0,1858,7,5.0.0,1,1,0,,,,,,,,,0,0,0,0,0
eslint-plugin-sort-imports-es6-autofix,69519679.0,4151.0,872.0,2017-02-11T10:17:31Z,2023-03-14T09:37:29Z,83,4,83,170,7.7,1.61,19,589.27,8,17,0.0,1.0,3.0,7.0,6.0,17.0,1.0,224.0,,,,,brick-boilerplate,brick-boilerplate,https://avatars.githubusercontent.com/u/131524?v=4,Mozilla,United States(California),10.46,0.03,0,12.1,1,3,16,ISC,38289313.0,7091.0,2336.0,15,0,0,15,1,1,0.0.0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0,3,7,44,14
eslint-plugin-sort-imports-es6-autofix,69519679.0,4151.0,872.0,2017-02-11T10:17:31Z,2023-03-14T09:37:29Z,83,4,83,170,7.7,1.61,19,589.27,8,17,0.0,1.0,3.0,7.0,6.0,17.0,1.0,224.0,,,,,karma,karma,https://avatars.githubusercontent.com/u/3284117?v=4,karma-runner,unknown,13.04,0.01,0,2.47,340,379,24233,MIT,396432213.0,16410.0,3625.0,39,24,0,63,213,5,6.4.4,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2850.0,0,5,21,31,7
eslint-plugin-sort-imports-es6-autofix,69519679.0,4151.0,872.0,2017-02-11T10:17:31Z,2023-03-14T09:37:29Z,83,4,83,170,7.7,1.61,19,589.27,8,17,0.0,1.0,3.0,7.0,6.0,17.0,1.0,224.0,,,,,karma-mocha,karma-mocha,https://avatars.githubusercontent.com/u/3284117?v=4,karma-runner,unknown,11.66,0.44,5,158.92,34,86,768,MIT,70595576.0,15141.0,3734.0,29,1,0,30,23,5,2.0.1,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,0,4,27,80,17
eslint-plugin-sort-imports-es6-autofix,69519679.0,4151.0,872.0,2017-02-11T10:17:31Z,2023-03-14T09:37:29Z,83,4,83,170,7.7,1.61,19,589.27,8,17,0.0,1.0,3.0,7.0,6.0,17.0,1.0,224.0,,,,,mock-fs,mock-fs,https://avatars.githubusercontent.com/u/41094?v=4,tschaub,unknown,10.96,0.03,0,10.85,38,67,1823,MIT,35342078.0,4192.0,1101.0,6,0,0,6,85,1,5.4.0,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733.0,0,0,0,0,0
eslint-plugin-sort-imports-es6-autofix,69519679.0,4151.0,872.0,2017-02-11T10:17:31Z,2023-03-14T09:37:29Z,83,4,83,170,7.7,1.61,19,589.27,8,17,0.0,1.0,3.0,7.0,6.0,17.0,1.0,224.0,,,,,eslint-config-tschaub,eslint-config-tschaub,https://avatars.githubusercontent.com/u/41094?v=4,tschaub,unknown,9.34,2.7,32,986.02,3,0,3,MIT,32631142.0,3597.0,839.0,6,6,0,12,22,1,14.1.2,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0,0,1,2,0
